key,value,date
HC,21,1452650760000
HC,21,1452650820000
HC,20,1452650880000
HC,24,1452650940000
HC,26,1452651000000
HC,16,1452651060000
HC,27,1452651120000
HC,24,1452651180000
HC,19,1452651240000
HC,24,1452651300000
HC,24,1452651360000
HC,25,1452651420000
HC,24,1452651480000
HC,21,1452651540000
HC,24,1452651600000
HC,19,1452651660000
HC,22,1452651720000
HC,20,1452651780000
HC,20,1452651840000
HC,24,1452651900000
HC,35,1452651960000
HC,33,1452652020000
HC,21,1452652080000
HC,22,1452652140000
HC,20,1452652200000
HC,25,1452652260000
HC,24,1452652320000
HC,21,1452652380000
HC,24,1452652440000
HC,22,1452652500000
HC,23,1452652560000
HC,24,1452652620000
HC,22,1452652680000
HC,17,1452652740000
HC,22,1452652800000
HC,24,1452652860000
HC,15,1452652920000
HC,18,1452652980000
HC,21,1452653040000
HC,21,1452653100000
HC,18,1452653160000
HC,21,1452653220000
HC,20,1452653280000
HC,22,1452653340000
HC,21,1452653400000
HC,22,1452653460000
HC,21,1452653520000
HC,20,1452653580000
HC,24,1452653640000
HC,19,1452653700000
HC,19,1452653760000
HC,20,1452653820000
HC,20,1452653880000
HC,21,1452653940000
HC,23,1452654000000
HC,19,1452654060000
HC,22,1452654120000
HC,22,1452654180000
HC,40,1452654240000
HC,27,1452654300000
IM,23,1452650760000
IM,21,1452650820000
IM,15,1452650880000
IM,19,1452650940000
IM,17,1452651000000
IM,21,1452651060000
IM,19,1452651120000
IM,22,1452651180000
IM,27,1452651240000
IM,20,1452651300000
IM,22,1452651360000
IM,12,1452651420000
IM,19,1452651480000
IM,18,1452651540000
IM,19,1452651600000
IM,22,1452651660000
IM,15,1452651720000
IM,25,1452651780000
IM,22,1452651840000
IM,20,1452651900000
IM,16,1452651960000
IM,18,1452652020000
IM,20,1452652080000
IM,19,1452652140000
IM,25,1452652200000
IM,20,1452652260000
IM,24,1452652320000
IM,22,1452652380000
IM,20,1452652440000
IM,20,1452652500000
IM,17,1452652560000
IM,21,1452652620000
IM,19,1452652680000
IM,22,1452652740000
IM,18,1452652800000
IM,20,1452652860000
IM,12,1452652920000
IM,18,1452652980000
IM,21,1452653040000
IM,20,1452653100000
IM,18,1452653160000
IM,21,1452653220000
IM,22,1452653280000
IM,23,1452653340000
IM,24,1452653400000
IM,26,1452653460000
IM,17,1452653520000
IM,24,1452653580000
IM,21,1452653640000
IM,23,1452653700000
IM,16,1452653760000
IM,24,1452653820000
IM,21,1452653880000
IM,21,1452653940000
IM,24,1452654000000
IM,15,1452654060000
IM,15,1452654120000
IM,24,1452654180000
IM,13,1452654240000
IM,25,1452654300000
GC,6,1452650760000
GC,9,1452650820000
GC,6,1452650880000
GC,5,1452650940000
GC,6,1452651000000
GC,5,1452651060000
GC,7,1452651120000
GC,7,1452651180000
GC,7,1452651240000
GC,9,1452651300000
GC,5,1452651360000
GC,4,1452651420000
GC,8,1452651480000
GC,11,1452651540000
GC,10,1452651600000
GC,8,1452651660000
GC,7,1452651720000
GC,4,1452651780000
GC,7,1452651840000
GC,4,1452651900000
GC,5,1452651960000
GC,7,1452652020000
GC,8,1452652080000
GC,5,1452652140000
GC,6,1452652200000
GC,7,1452652260000
GC,7,1452652320000
GC,6,1452652380000
GC,5,1452652440000
GC,6,1452652500000
GC,5,1452652560000
GC,5,1452652620000
GC,9,1452652680000
GC,4,1452652740000
GC,7,1452652800000
GC,8,1452652860000
GC,6,1452652920000
GC,7,1452652980000
GC,5,1452653040000
GC,7,1452653100000
GC,8,1452653160000
GC,10,1452653220000
GC,9,1452653280000
GC,10,1452653340000
GC,5,1452653400000
GC,11,1452653460000
GC,11,1452653520000
GC,11,1452653580000
GC,7,1452653640000
GC,8,1452653700000
GC,10,1452653760000
GC,5,1452653820000
GC,13,1452653880000
GC,7,1452653940000
GC,7,1452654000000
GC,6,1452654060000
GC,10,1452654120000
GC,10,1452654180000
GC,11,1452654240000
GC,10,1452654300000
PL,2,1452650760000
PL,2,1452650820000
PL,2,1452650880000
PL,1,1452650940000
PL,0,1452651000000
PL,1,1452651060000
PL,2,1452651120000
PL,3,1452651180000
PL,2,1452651240000
PL,2,1452651300000
PL,1,1452651360000
PL,2,1452651420000
PL,1,1452651480000
PL,2,1452651540000
PL,1,1452651600000
PL,1,1452651660000
PL,2,1452651720000
PL,2,1452651780000
PL,1,1452651840000
PL,2,1452651900000
PL,0,1452651960000
PL,2,1452652020000
PL,1,1452652080000
PL,3,1452652140000
PL,0,1452652200000
PL,2,1452652260000
PL,2,1452652320000
PL,2,1452652380000
PL,1,1452652440000
PL,1,1452652500000
PL,3,1452652560000
PL,2,1452652620000
PL,2,1452652680000
PL,2,1452652740000
PL,2,1452652800000
PL,1,1452652860000
PL,1,1452652920000
PL,1,1452652980000
PL,3,1452653040000
PL,2,1452653100000
PL,1,1452653160000
PL,1,1452653220000
PL,2,1452653280000
PL,0,1452653340000
PL,1,1452653400000
PL,1,1452653460000
PL,1,1452653520000
PL,1,1452653580000
PL,1,1452653640000
PL,2,1452653700000
PL,2,1452653760000
PL,1,1452653820000
PL,1,1452653880000
PL,0,1452653940000
PL,1,1452654000000
PL,2,1452654060000
PL,1,1452654120000
PL,0,1452654180000
PL,2,1452654240000
PL,2,1452654300000
GE,0,1452650760000
GE,0,1452650820000
GE,0,1452650880000
GE,0,1452650940000
GE,0,1452651000000
GE,1,1452651060000
GE,1,1452651120000
GE,1,1452651180000
GE,2,1452651240000
GE,0,1452651300000
GE,0,1452651360000
GE,0,1452651420000
GE,0,1452651480000
GE,1,1452651540000
GE,1,1452651600000
GE,1,1452651660000
GE,0,1452651720000
GE,1,1452651780000
GE,2,1452651840000
GE,0,1452651900000
GE,0,1452651960000
GE,1,1452652020000
GE,1,1452652080000
GE,1,1452652140000
GE,1,1452652200000
GE,1,1452652260000
GE,0,1452652320000
GE,0,1452652380000
GE,0,1452652440000
GE,0,1452652500000
GE,0,1452652560000
GE,0,1452652620000
GE,0,1452652680000
GE,0,1452652740000
GE,1,1452652800000
GE,1,1452652860000
GE,1,1452652920000
GE,0,1452652980000
GE,0,1452653040000
GE,0,1452653100000
GE,0,1452653160000
GE,0,1452653220000
GE,0,1452653280000
GE,0,1452653340000
GE,0,1452653400000
GE,1,1452653460000
GE,2,1452653520000
GE,0,1452653580000
GE,0,1452653640000
GE,0,1452653700000
GE,1,1452653760000
GE,1,1452653820000
GE,0,1452653880000
GE,0,1452653940000
