time	economy	terrorism	health care	sick leave	education	trade	corporate tax	climate change	women's rights
1/20 8:50 PM EST	29	10	71	1	85	41	0	2	2
1/20 8:51 PM EST	24	7	71	1	75	49	0	2	1
1/20 8:52 PM EST	27	14	79	1	86	49	0	1	0
1/20 8:53 PM EST	28	10	71	1	90	39	0	1	1
1/20 8:54 PM EST	31	9	69	1	73	51	0	1	2
1/20 8:55 PM EST	28	13	65	2	77	40	0	1	3
1/20 8:56 PM EST	22	11	67	1	85	39	1	2	4
1/20 8:57 PM EST	27	13	69	1	79	45	1	2	2
1/20 8:58 PM EST	27	12	58	0	71	41	1	2	1
1/20 8:59 PM EST	27	13	66	0	84	42	1	3	1
1/20 9:00 PM EST	30	12	64	1	81	44	1	2	3
1/20 9:01 PM EST	28	6	60	1	85	54	0	2	2
1/20 9:02 PM EST	27	10	66	1	94	61	0	2	1
1/20 9:03 PM EST	26	9	57	2	83	47	1	2	1
1/20 9:04 PM EST	30	12	59	2	81	39	0	2	1
1/20 9:05 PM EST	27	13	58	1	77	46	2	2	1
1/20 9:06 PM EST	26	7	59	1	79	43	2	3	2
1/20 9:07 PM EST	32	9	66	0	75	34	2	2	2
1/20 9:08 PM EST	28	12	59	1	84	49	1	4	1
1/20 9:09 PM EST	27	13	53	1	80	39	0	2	1
1/20 9:10 PM EST	20	11	65	2	75	43	0	1	2
1/20 9:11 PM EST	27	9	61	1	74	49	1	2	3
1/20 9:12 PM EST	46	10	70	2	85	42	0	2	2
1/20 9:13 PM EST	27	6	67	1	82	48	0	2	3
1/20 9:14 PM EST	34	12	61	1	82	44	1	1	5
1/20 9:15 PM EST	40	12	60	1	87	46	1	2	2
1/20 9:16 PM EST	36	12	69	1	83	38	1	3	0
1/20 9:17 PM EST	31	12	56	2	75	41	1	3	2
1/20 9:18 PM EST	25	15	63	1	86	38	1	3	1
1/20 9:19 PM EST	31	12	65	2	91	40	1	2	3
1/20 9:20 PM EST	33	7	63	3	97	38	0	2	1
1/20 9:21 PM EST	34	9	82	1	87	38	0	1	1
1/20 9:22 PM EST	43	13	77	2	77	42	0	1	2
1/20 9:23 PM EST	34	10	79	2	81	44	0	2	3
1/20 9:24 PM EST	40	7	70	1	85	45	0	1	1
1/20 9:25 PM EST	38	7	66	1	84	42	0	2	2
1/20 9:26 PM EST	27	5	68	0	80	41	1	2	1
1/20 9:27 PM EST	28	10	66	12	76	41	0	1	3
1/20 9:28 PM EST	28	9	69	33	78	42	1	2	2
1/20 9:29 PM EST	31	8	66	24	78	40	2	1	4
1/20 9:30 PM EST	32	11	77	16	83	43	0	1	1
1/20 9:31 PM EST	32	8	71	8	86	35	0	2	2
1/20 9:32 PM EST	25	9	70	8	88	39	0	2	3
1/20 9:33 PM EST	34	12	66	5	98	35	2	1	2
1/20 9:34 PM EST	35	6	70	5	87	42	0	2	2
1/20 9:35 PM EST	42	10	70	4	92	34	1	2	2
1/20 9:36 PM EST	32	10	67	2	90	39	1	0	3
1/20 9:37 PM EST	35	5	61	3	92	46	1	3	4
1/20 9:38 PM EST	34	10	67	3	90	69	1	1	3
1/20 9:39 PM EST	33	9	82	3	80	80	1	3	1
1/20 9:40 PM EST	31	12	70	2	81	51	1	2	1
1/20 9:41 PM EST	25	8	70	2	92	48	1	3	2
1/20 9:42 PM EST	30	8	62	3	91	39	4	3	2
1/20 9:43 PM EST	37	8	73	2	100	46	2	3	1
1/20 9:44 PM EST	27	12	71	2	80	46	1	1	2
1/20 9:45 PM EST	31	28	68	4	75	42	0	1	2
1/20 9:46 PM EST	32	28	70	2	92	45	1	4	1
1/20 9:47 PM EST	31	24	64	2	83	40	1	2	4
1/20 9:48 PM EST	66	20	64	2	75	51	1	2	2
1/20 9:49 PM EST	37	18	65	3	92	39	1	1	2
1/20 9:50 PM EST	39	12	69	2	78	42	1	1	1
1/20 9:51 PM EST	32	13	66	2	90	42	1	2	2
1/20 9:52 PM EST	36	13	69	4	88	41	0	3	1
1/20 9:53 PM EST	41	11	63	3	99	47	0	20	3
1/20 9:54 PM EST	30	16	65	2	87	48	2	49	3
1/20 9:55 PM EST	41	11	69	2	88	46	2	48	2
1/20 9:56 PM EST	45	9	65	2	87	42	0	30	4
1/20 9:57 PM EST	30	15	64	1	80	41	0	18	1
1/20 9:58 PM EST	30	20	72	2	84	37	1	14	1
1/20 9:59 PM EST	31	11	58	1	67	34	1	6	2
1/20 10:00 PM EST	29	16	67	2	87	33	1	8	1
1/20 10:01 PM EST	27	9	61	3	79	38	1	6	1
1/20 10:02 PM EST	31	10	72	2	79	41	1	9	2
1/20 10:03 PM EST	28	9	64	1	72	44	1	5	0
1/20 10:04 PM EST	26	12	65	2	73	43	1	5	2
1/20 10:05 PM EST	31	13	70	2	77	44	1	6	2
1/20 10:06 PM EST	23	9	63	2	78	42	0	5	3
1/20 10:07 PM EST	24	12	54	3	73	46	1	4	1
1/20 10:08 PM EST	28	6	66	2	74	41	0	6	1
1/20 10:09 PM EST	27	14	64	3	77	40	0	5	3
1/20 10:10 PM EST	25	10	65	1	64	40	0	5	3
